N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
126,BNK금융지주,"8,000",10,+0.13%,"5,000","26,075","325,935",38.69,"824,678",4.54,6.11,
127,현대로템,"23,800","1,250",+5.54%,"5,000","25,976","109,142",6.33,"9,630,353",55.09,2.84,
128,포스코인터내셔널,"20,950",400,+1.95%,"5,000","25,847","123,375",12.12,"659,242",10.00,7.69,
129,KODEX 단기채권,"102,855",0,0.00%,0,"25,556","24,847",0.00,"6,101",N/A,N/A,
130,DB하이텍,"56,500","1,000",-1.74%,"5,000","25,085","44,399",14.93,"1,233,302",15.84,23.07,
131,더존비즈온,"80,800",600,-0.74%,500,"24,515","30,341",40.98,"191,752",44.99,15.09,
132,한화에어로스페이스,"47,600","1,050",+2.26%,"5,000","24,100","50,630",19.70,"672,233",10.79,4.78,
133,한화,"32,150",700,+2.23%,"5,000","24,099","74,959",18.78,"630,945",8.24,4.79,
134,현대위아,"88,500",0,0.00%,"5,000","24,068","27,195",7.05,"651,791",156.36,1.96,
135,메리츠금융지주,"17,950",450,-2.45%,500,"24,055","134,011",7.76,"298,783",4.20,16.06,
136,TIGER 200,"43,395",165,+0.38%,0,"23,629","54,450",0.00,"277,769",N/A,N/A,
137,한전기술,"61,400","3,400",+5.86%,200,"23,467","38,220",2.29,"2,708,279",140.18,N/A,
138,LS,"72,800","2,100",+2.97%,"5,000","23,442","32,200",14.18,"253,346",12.82,3.94,
139,현대엘리베이,"57,100",300,-0.52%,"5,000","23,305","40,815",29.30,"417,953",20.82,9.78,
140,대웅,"38,700","1,650",+4.45%,500,"22,501","58,142",4.34,"723,060",26.15,15.10,
141,KODEX 200선물인버스2X,"1,905",10,-0.52%,0,"22,452","1,178,600",3.64,"179,040,102",N/A,N/A,
142,한전KPS,"49,450","3,000",+6.46%,200,"22,252","45,000",9.14,"1,869,859",20.62,8.23,
143,메리츠화재,"17,650",200,-1.12%,500,"21,290","120,625",11.14,"391,696",4.46,16.91,
144,현대해상,"23,650",100,-0.42%,500,"21,143","89,400",31.11,"736,482",5.72,7.13,
145,효성,"99,800",500,+0.50%,"5,000","21,029","21,071",9.77,"53,410",74.59,-2.26,
146,현대백화점,"89,600",700,-0.78%,"5,000","20,969","23,402",19.07,"157,782",21.51,1.65,
147,동국제강,"21,700","1,050",-4.62%,"5,000","20,709","95,433",23.04,"2,190,450",9.83,3.35,
148,HDC현대산업개발,"31,100","1,300",+4.36%,"5,000","20,497","65,907",10.82,"1,982,364",9.90,8.85,
149,영원무역,"45,950",50,-0.11%,500,"20,361","44,311",26.31,"73,596",13.17,8.03,
150,한국앤컴퍼니,"21,050",650,+3.19%,500,"19,984","94,935",9.99,"363,598",9.70,5.08,
151,오뚜기,"544,000",0,0.00%,"5,000","19,976","3,672",14.07,"11,637",20.63,7.93,
152,KODEX 단기채권PLUS,"103,155",5,0.00%,0,"19,535","18,938",0.00,"15,550",N/A,N/A,
153,한화시스템,"17,550",100,+0.57%,"5,000","19,345","110,230",2.08,"624,201",20.08,9.35,
154,대웅제약,"166,500","6,000",+3.74%,"2,500","19,292","11,587",5.38,"137,317",-174.89,2.38,
155,금호타이어,"6,700",940,+16.32%,"5,000","19,246","287,260",4.81,"7,486,050",-126.42,-6.74,
156,아이에스동서,"62,000","2,700",+4.55%,500,"19,153","30,893",5.32,"134,643",14.98,10.92,
157,KG동부제철,"18,900",900,-4.55%,"5,000","18,902","100,009",0.42,"464,485",20.95,7.18,
158,농심,"303,500","1,500",+0.50%,"5,000","18,461","6,083",14.59,"31,463",14.34,7.50,
159,LS ELECTRIC,"59,700","2,700",+4.74%,"5,000","17,910","30,000",14.99,"235,977",22.76,6.15,
160,DL,"84,900","1,500",+1.80%,"5,000","17,792","20,956",16.39,"323,334",4.55,11.84,
161,효성첨단소재,"386,500",500,-0.13%,"5,000","17,315","4,480",11.26,"55,150",47.70,0.03,
162,롯데정밀화학,"66,400",0,0.00%,"5,000","17,131","25,800",20.75,"141,628",8.73,12.65,
163,두산,"103,000","14,900",+16.91%,"5,000","17,020","16,524",10.32,"1,179,876",-12.40,-34.34,
164,한미반도체,"34,200",250,+0.74%,200,"16,915","49,460",6.14,"703,785",27.94,21.03,
165,프레스티지바이오파마,"28,100",450,-1.58%,0,"16,887","60,096",63.60,"192,700",-83.63,N/A,
166,에스엘,"35,000","1,000",+2.94%,500,"16,871","48,203",16.53,"1,043,447",15.28,4.74,
167,코오롱인더,"62,300",400,-0.64%,"5,000","16,808","26,979",18.19,"222,821",20.64,9.70,
